Old Code,Item No. (Unique SKU code),Item/Service Description,New Item/Service Description for Tax,Item Group,Product,Category,Packing Type,Product Type,Packing Size,Section
1040,1040,GAZAL SESAME SEEDS 400 GM,NOOR GAZAL SESAME SEEDS 400 GM,FINISHED GOODS,SESAME SEEDS,CEREALS & FLOUR,PILLOW,WHOLE,400,NUTS SECTION
,1058,,NOOR GAZAL CLOVES 20 GM,FINISHED GOODS,CLOVES,SPICES,PILLOW,WHOLE,20,NUTS SECTION
1063,1063,GAZAL KAHWA SEELANIYA 1 KG,NOOR GAZAL KAHWA SEELANIYA 1 KG,FINISHED GOODS,KAWA SEELANIA,OMANI COFFEE,PILLOW,POWDER,1000,KAHWA SECTION
1064,1064,GAZAL KAHWA ADHAIF 2 KG.,NOOR GAZAL KAHWA ADHAIF 2 KG.,FINISHED GOODS,KAWA ADHAIF,OMANI COFFEE,PILLOW,POWDER,2000,KAHWA SECTION
1065,1065,GAZAL KAHWA ADHAIF 1 KG.,NOOR GAZAL KAHWA ADHAIF 1 KG.,FINISHED GOODS,KAWA ADHAIF,OMANI COFFEE,PILLOW,POWDER,1000,KAHWA SECTION
1066,1066,GAZAL KAHWA ADHAIF 500 GM,NOOR GAZAL KAHWA ADHAIF 500 GM,FINISHED GOODS,KAWA ADHAIF,OMANI COFFEE,PILLOW,POWDER,500,KAHWA SECTION
,1080,GAZAL ALMONDS PREMIUM 500 GM,NOOR GAZAL ALMONDS PREMIUM 500 GM,FINISHED GOODS,CUMIN SEED,NUTS & DRY FRUITS,PILLOW,WHOLE,500,NUTS SECTION
1081,1081,GAZAL ALMONDS PREMIUM 1 KG,NOOR GAZAL ALMONDS PREMIUM 1 KG,FINISHED GOODS,ALMONDS 20/22 .68,NUTS & DRY FRUITS,PILLOW,WHOLE,1000,NUTS SECTION
,1089,,NOOR GAZAL  ROASTED CASHEW NUTS 100 GM,FINISHED GOODS,ROASTED CASHEW,NUTS & DRY FRUITS,PILLOW,WHOLE,100,NUTS SECTION
1096,1096,GAZAL CASHEW NUTS 500 GM,NOOR GAZAL CASHEW NUTS 500 GM,FINISHED GOODS,CASHEW NUTS W 240,NUTS & DRY FRUITS,PILLOW,WHOLE,500,NUTS SECTION
1097,1097,GAZAL CASHEW NUTS 1 KG,NOOR GAZAL CASHEW NUTS 1 KG,FINISHED GOODS,CASHEW NUTS W 240,NUTS & DRY FRUITS,PILLOW,WHOLE,1000,NUTS SECTION
1103,1103,GAZAL GOLDEN RAISINS 70 GM,NOOR GAZAL GOLDEN RAISINS 70 GM,FINISHED GOODS,GOLDEN RAISINS,NUTS & DRY FRUITS,PILLOW,WHOLE,70,NUTS SECTION
1106,1106,GAZAL GOLDEN RAISINS 400 GM,NOOR GAZAL GOLDEN RAISINS 400 GM,FINISHED GOODS,GOLDEN RAISINS,NUTS & DRY FRUITS,PILLOW,WHOLE,400,NUTS SECTION
1107,1107,GAZAL GOLDEN RAISINS 500 GM,NOOR GAZAL GOLDEN RAISINS 500 GM,FINISHED GOODS,GOLDEN RAISINS,NUTS & DRY FRUITS,PILLOW,WHOLE,500,NUTS SECTION
1108,1108,GAZAL GOLDEN RAISINS 1 KG,NOOR GAZAL GOLDEN RAISINS 1 KG,FINISHED GOODS,GOLDEN RAISINS,NUTS & DRY FRUITS,PILLOW,WHOLE,1000,NUTS SECTION
1111,1111,GAZAL MIXED NUTS PREMIUM 400 GM,NOOR GAZAL MIXED NUTS PREMIUM 400 GM,FINISHED GOODS,MIXED NUTS,NUTS & DRY FRUITS,PILLOW,WHOLE,400,NUTS SECTION
1116,1116,GAZAL PEANUT PLAIN 200 GM,NOOR GAZAL PEANUT PLAIN 200 GM,FINISHED GOODS,PEANUT PLAIN,NUTS & DRY FRUITS,PILLOW,WHOLE,200,NUTS SECTION
1119,1119,GAZAL PEANUT PLAIN 500 GM,NOOR GAZAL PEANUT PLAIN 500 GM,FINISHED GOODS,PEANUT PLAIN,NUTS & DRY FRUITS,PILLOW,WHOLE,500,NUTS SECTION
1120,1120,GAZAL CHILLI POWDER 350 GM,NOOR GAZAL CHILLI POWDER 350 GM,FINISHED GOODS,CHILLI POWDER,SPICES,PILLOW,POWDER,350,FFS MASALA
1136,1136,GAZAL PISTACHIOS PREMIUM 150 GM,NOOR GAZAL PISTACHIOS PREMIUM 150 GM,FINISHED GOODS,PISTACHIO,NUTS & DRY FRUITS,PILLOW,WHOLE,150,NUTS SECTION
1137,1137,GAZAL CHILLI POWDER 800 GM,NOOR GAZAL CHILLI POWDER 800 GM,FINISHED GOODS,CHILLI POWDER,SPICES,PILLOW,POWDER,800,FFS MASALA
1138,1138,GAZAL PISTACHIOS PREMIUM 400 GM,NOOR GAZAL PISTACHIOS PREMIUM 400 GM,FINISHED GOODS,PISTACHIO,NUTS & DRY FRUITS,PILLOW,WHOLE,400,NUTS SECTION
1142,1142,GAZAL PUMPKIN SEEDS 200 GMS,NOOR GAZAL PUMPKIN SEEDS 200 GMS,FINISHED GOODS,PUMKIN SEEDS,NUTS & DRY FRUITS,PILLOW,WHOLE,200,NUTS SECTION
,1167,,NOOR GAZAL LUMP SUGAR 100 GMS.,FINISHED GOODS,LUMP SUGAR,NUTS & DRY FRUITS,PILLOW,WHOLE,100,NUTS SECTION
1169,1169,GAZAL RICE FLAKES (RED) 500 GM,NOOR GAZAL RICE FLAKES (RED) 500 GM,FINISHED GOODS,RICE FLAKES RED,CEREALS & FLOUR,PILLOW,WHOLE,500,NUTS SECTION
1170,1170,GAZAL RICE FLAKES (RED) 250 GM,NOOR GAZAL RICE FLAKES (RED) 250 GM,FINISHED GOODS,RICE FLAKES RED,CEREALS & FLOUR,PILLOW,WHOLE,250,NUTS SECTION
1172,1172,GAZAL RICE FLAKES(WHITE) 500 GMS,NOOR GAZAL RICE FLAKES(WHITE) 500 GMS,FINISHED GOODS,RICE FLAKES WHITE,CEREALS & FLOUR,PILLOW,WHOLE,500,NUTS SECTION
1173,1173,GAZAL RICE FLAKES(WHITE) 250 GMS,NOOR GAZAL RICE FLAKES(WHITE) 250 GMS,FINISHED GOODS,RICE FLAKES WHITE,CEREALS & FLOUR,PILLOW,WHOLE,250,NUTS SECTION
1191,1191,GAZAL ALMONDS PREMIUM 400 GM,NOOR GAZAL ALMONDS PREMIUM 400 GM,FINISHED GOODS,ALMONDS 20/22 .68,NUTS & DRY FRUITS,PILLOW,WHOLE,400,NUTS SECTION
1200,1200,GAZAL CHILLI POWDER JAR 250g,NOOR GAZAL CHILLI POWDER JAR 250g,FINISHED GOODS,CHILLI POWDER,SPICES,JAR,POWDER,250,JAR SECTION
1201,1201,GAZAL CINNAMON POWDER JAR 250g,NOOR GAZAL CINNAMON POWDER JAR 250g,FINISHED GOODS,CINNAMON POWDER,SPICES,JAR,POWDER,250,JAR SECTION
1202,1202,GAZAL CLOVES POWDER JAR 200g,NOOR GAZAL CLOVES POWDER JAR 200g,FINISHED GOODS,CLOVES POWDER,SPICES,JAR,WHOLE,200,JAR SECTION
1204,1204,GAZAL CORIANDER POWDER PET JAR 225GM,NOOR GAZAL CORIANDER POWDER JAR 225 GM,FINISHED GOODS,CORIANDER POWDER,SPICES,JAR,POWDER,225,JAR SECTION
1205,1205,GAZAL FISH MASALA JAR 250g,NOOR GAZAL FISH MASALA JAR 250g,FINISHED GOODS,FISH MASALA POWDER,SPICES,JAR,POWDER,250,JAR SECTION
1207,1207,GAZAL GARLIC POWDER JAR 300g,NOOR GAZAL GARLIC POWDER JAR 300g,FINISHED GOODS,GARLIC FLAKES,SPICES,JAR,POWDER,300,JAR SECTION
1208,1208,GAZAL GINGER POWDER JAR 225g,NOOR GAZAL GINGER POWDER JAR 225g,FINISHED GOODS,GINGER POWDER,SPICES,JAR,POWDER,225,JAR SECTION
1210,1210,GAZAL LEMON POWDER JAR 250g,NOOR GAZAL LEMON POWDER JAR 250g,FINISHED GOODS,LEMON POWDER,SPICES,JAR,POWDER,250,JAR SECTION
1213,1213,GAZAL SAMBAR MASALA JAR 250g,NOOR GAZAL SAMBAR MASALA JAR 250g,FINISHED GOODS,SAMBAR POWDER,SPICES,JAR,POWDER,250,JAR SECTION
1215,1215,GAZAL TURMERIC POWDER JAR 300g,NOOR GAZAL TURMERIC POWDER JAR 300g,FINISHED GOODS,TURMERIC POWDER,SPICES,JAR,POWDER,300,JAR SECTION
1218,1218,GAZAL BROAD BEANS 1 KG,NOOR GAZAL BROAD BEANS 1 KG,FINISHED GOODS,BROAD BEANS,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1221,1221,GAZAL BLACK CHANA 1 KG,NOOR GAZAL BLACK CHANA 1 KG,FINISHED GOODS,BLACK CHANA,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1222,1222,GAZAL BLACK CHANA 500 GM,NOOR GAZAL BLACK CHANA 500 GM,FINISHED GOODS,BLACK CHANA,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1225,1225,GAZAL BLACK EYE BEANS 1 KG,NOOR GAZAL BLACK EYE BEANS 1 KG,FINISHED GOODS,BLACK EYE BEANS,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
,1226,GAZAL BLACK EYE BEANS 700 GM,NOOR GAZAL BLACK EYE BEANS 700 GM,FINISHED GOODS,BLACK EYE BEANS,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1227,1227,GAZAL BLACK EYE BEANS 500 GM,NOOR GAZAL BLACK EYE BEANS 500 GM,FINISHED GOODS,BLACK EYE BEANS,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1231,1231,GAZAL CHANA DAL 1 KG,NOOR GAZAL CHANA DAL 1 KG,FINISHED GOODS,CHANA DAL,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1232,1232,GAZAL CHANA DAL 500 GM,NOOR GAZAL CHANA DAL 500 GM,FINISHED GOODS,CHANA DAL,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1234,1234,GAZAL CHANA DAL 200 GM,NOOR GAZAL CHANA DAL 200 GM,FINISHED GOODS,CHANA DAL,PEAS & LENTILES,PILLOW,WHOLE,200,NUTS SECTION
1236,1236,GAZAL FASOOLIYA 1 KG,NOOR GAZAL FASOOLIYA 1 KG,FINISHED GOODS,FASOOLIYA,SPICES,PILLOW,WHOLE,1000,NEW TABLE
1239,1239,GAZAL GREEN PEAS 1 KG,NOOR GAZAL GREEN PEAS 1 KG,FINISHED GOODS,GREEN PEAS,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1240,1240,GAZAL GREEN PEAS 500 GM,NOOR GAZAL GREEN PEAS 500 GM,FINISHED GOODS,GREEN PEAS,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1243,1243,GAZAL MASOOR DAL 1 KG,NOOR GAZAL MASOOR DAL 1 KG,FINISHED GOODS,MASOOR DAL,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1244,1244,GAZAL MASOOR DAL 700 GM,NOOR GAZAL MASOOR DAL 700 GM,FINISHED GOODS,MASOOR DAL,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1245,1245,GAZAL MASOOR DAL 500 GM,NOOR GAZAL MASOOR DAL 500 GM,FINISHED GOODS,MASOOR DAL,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1249,1249,GAZAL MASUR WHOLE 1 KG,NOOR GAZAL MASUR WHOLE 1 KG,FINISHED GOODS,MASOOR WHOLE,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1250,1250,GAZAL MASUR WHOLE 700 GM,NOOR GAZAL MASUR WHOLE 700 GM,FINISHED GOODS,MASOOR WHOLE,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1253,1253,GAZAL MUNG SPLIT 1 KG,NOOR GAZAL MUNG SPLIT 1 KG,FINISHED GOODS,MOONG SPLIT,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1254,1254,GAZAL MUNG SPLIT 700 GM,NOOR GAZAL MUNG SPLIT 700 GM,FINISHED GOODS,MOONG SPLIT,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1257,1257,GAZAL MUNG WHOLE 1 KG,NOOR GAZAL MUNG WHOLE 1 KG,FINISHED GOODS,MOONG WHOLE,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1258,1258,GAZAL MASOOR DAL 200 GM,NOOR GAZAL MASOOR DAL 200 GM,FINISHED GOODS,MASOOR DAL,PEAS & LENTILES,PILLOW,WHOLE,200,NUTS SECTION
1262,1262,GAZAL MUNG DAL 1 KG,NOOR GAZAL MUNG DAL 1 KG,FINISHED GOODS,MOONG DAL,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
,1263,GAZAL MUNG DAL 700 GM,NOOR GAZAL MUNG DAL 700 GM,FINISHED GOODS,MOONG DAL,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1264,1264,GAZAL MUNG DAL 500 GM,NOOR GAZAL MUNG DAL 500 GM,FINISHED GOODS,MOONG DAL,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1268,1268,GAZAL R.K. BEANS 1 KG,NOOR GAZAL R.K. BEANS 1 KG,FINISHED GOODS,R.K. BEANS,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1269,1269,GAZAL R.K. BEANS 700 GM,NOOR GAZAL R.K. BEANS 700 GM,FINISHED GOODS,R.K BEANS,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1273,1273,GAZAL ROASTED CHANA 500 GM,NOOR GAZAL ROASTED CHANA 500 GM,FINISHED GOODS,ROASTED CHANA,NUTS & DRY FRUITS,PILLOW,WHOLE,500,NUTS SECTION
1275,1275,GAZAL ROASTED CHANA 200 GMS,NOOR GAZAL ROASTED CHANA 200 GMS,FINISHED GOODS,ROASTED CHANA,NUTS & DRY FRUITS,PILLOW,WHOLE,200,NUTS SECTION
1277,1277,GAZAL ROSE MUNG 1 KG,NOOR GAZAL ROSE MUNG 1 KG,FINISHED GOODS,ROSE MUNG,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1278,1278,GAZAL ROSE MUNG 700 GM,NOOR GAZAL ROSE MUNG 700 GM,FINISHED GOODS,ROSE MUNG,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1279,1279,GAZAL ROSE MUNG 500 GM,NOOR GAZAL ROSE MUNG 500 GM,FINISHED GOODS,ROSE MUNG,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1282,1282,GAZAL TOOR DAL 1 KG,NOOR GAZAL TOOR DAL 1 KG,FINISHED GOODS,TOOR DAL,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1284,1284,GAZAL TOOR DAL 500 GM,NOOR GAZAL TOOR DAL 500 GM,FINISHED GOODS,TOOR DAL,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1288,1288,GAZAL URID DAL 1 KG,NOOR GAZAL URID DAL 1 KG,FINISHED GOODS,URID DAL,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1290,1290,GAZAL URID DAL 500 GM,NOOR GAZAL URID DAL 500 GM,FINISHED GOODS,URID DAL,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1292,1292,GAZAL URID DAL 200 GM,NOOR GAZAL URID DAL 200 GM,FINISHED GOODS,URID AL,PEAS & LENTILES,PILLOW,WHOLE,200,NUTS SECTION
1294,1294,GAZAL URID WHOLE (BLACK) 1 KG,NOOR GAZAL URID WHOLE (BLACK) 1 KG,FINISHED GOODS,URID WHOLE (BLACK),PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1300,1300,GAZAL WHITE CHANA 14MM 1 KG,NOOR GAZAL WHITE CHANA 14MM 1 KG,FINISHED GOODS,WHITE CHANA 14.MM,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1301,1301,GAZAL WHITE CHANA 14MM 700 GM,NOOR GAZAL WHITE CHANA 14MM 700 GM,FINISHED GOODS,WHITE CHANA 14.MM,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1302,1302,GAZAL WHITE CHANA 14MM 500 GM,NOOR GAZAL WHITE CHANA 14MM 500 GM,FINISHED GOODS,WHITE CHANA 14.MM,PEAS & LENTILES,PILLOW,WHOLE,500,FFS DAL
1309,1309,GAZAL URID SPLIT 1 KG,NOOR GAZAL URID SPLIT 1 KG,FINISHED GOODS,URID SPLIT,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1310,1310,GAZAL URID SPLIT 700 GM,NOOR GAZAL URID SPLIT 700 GM,FINISHED GOODS,URID SPLIT,PEAS & LENTILES,PILLOW,WHOLE,700,FFS DAL
1313,1313,GAZAL BLACK PEPPER POWDER 1 KG,NOOR GAZAL BLACK PEPPER POWDER 1 KG,FINISHED GOODS,BLACK PEPPER POWDER,SPICES,PILLOW,POWDER,1000,MASALA TABLE
,1314,,NOOR GAZAL   BLACK PEPPER POWDER 500 GM,FINISHED GOODS,BLACK PEPPER POWDER,SPICES,PILLOW,POWDER,500,MASALA TABLE
1318,1318,GAZAL BLACK PEPPER POWDER 150 GM,NOOR GAZAL BLACK PEPPER POWDER 150 GM,FINISHED GOODS,BLACK PEPPER POWDER,SPICES,PILLOW,POWDER,150,FFS MASALA
1326,1326,GAZAL CHICKEN MASALA 500 GM,NOOR GAZAL CHICKEN MASALA 500 GM,FINISHED GOODS,CHICKEN MASALA POWDER,SPICES,PILLOW,POWDER,500,JAR SECTION
1327,1327,GAZAL CHICKEN MASALA 1 KG,NOOR GAZAL CHICKEN MASALA 1 KG,FINISHED GOODS,CHICKEN MASALA POWDER,SPICES,PILLOW,POWDER,1000,JAR SECTION
1328,1328,GAZAL CHILLI POWDER 400 GM,NOOR GAZAL CHILLI POWDER 400 GM,FINISHED GOODS,CHILLI POWDER,SPICES,PILLOW,POWDER,400,FFS MASALA
1332,1332,GAZAL CHILLI POWDER 4 KG,NOOR GAZAL CHILLI POWDER 4 KG,FINISHED GOODS,CHILLI POWDER,SPICES,PILLOW,POWDER,4000,FFS MASALA
,1333,,NOOR GAZAL CHILLI POWDER 1 KG,FINISHED GOODS,CHILLI POWDER,SPICES,PILLOW,POWDER,1000,FFS MASALA
1334,1334,GAZAL CHILLI POWDER 500 GM,NOOR GAZAL CHILLI POWDER 500 GM,FINISHED GOODS,CHILLI POWDER,SPICES,PILLOW,POWDER,500,FFS MASALA
1339,1339,GAZAL CINNAMON POWDER 400 GM,NOOR GAZAL CINNAMON POWDER 400 GM,FINISHED GOODS,CINNAMON POWDER,SPICES,PILLOW,POWDER,400,MASALA TABLE
1347,1347,GAZAL CLOVES POWDER 100 GM,NOOR GAZAL CLOVES POWDER 100 GM,FINISHED GOODS,CLOVES POWDER,SPICES,PILLOW,WHOLE,100,MASALA TABLE
1352,1352,GAZAL CORIANDER POWDER 800 GM,NOOR GAZAL CORIANDER POWDER 800 GM,FINISHED GOODS,CORIANDER POWDER,SPICES,PILLOW,POWDER,800,FFS MASALA
1353,1353,GAZAL CORIANDER POWDER 400 GM,NOOR GAZAL CORIANDER POWDER 400 GM,FINISHED GOODS,CORIANDER POWDER,SPICES,PILLOW,POWDER,400,FFS MASALA
,1355,GAZAL CORIANDER POWDER 100 GM,NOOR GAZAL CORIANDER POWDER 100 GM,FINISHED GOODS,CORIANDER POWDER,SPICES,PILLOW,POWDER,100,FFS MASALA
1358,1358,GAZAL GARAM MASALA 1 KG,NOOR GAZAL GARAM MASALA 1 KG,FINISHED GOODS,GARAM MASALA,SPICES,PILLOW,POWDER,1000,MASALA TABLE
1359,1359,GAZAL GARAM MASALA 500 GM,NOOR GAZAL GARAM MASALA 500 GM,FINISHED GOODS,GARAM MASALA POWDER,SPICES,PILLOW,POWDER,500,FFS MASALA
1367,1367,GAZAL GINGER POWDER 500 GM,NOOR GAZAL GINGER POWDER 500 GM,FINISHED GOODS,GINGER POWDER,SPICES,PILLOW,POWDER,500,MASALA TABLE
,1374,,NOOR GAZAL JEERA POWDER 500 GM,FINISHED GOODS,JEERA POWDER,SPICES,PILLOW,POWDER,500,MASALA TABLE
,1379,GAZAL MEAT MASALA 1 KG,NOOR GAZAL MEAT MASALA 1 KG,FINISHED GOODS,MEAT MASALA POWDER,SPICES,PILLOW,POWDER,1000,JAR SECTION
1380,1380,GAZAL MEAT MASALA 500 GM,NOOR GAZAL MEAT MASALA 500 GM,FINISHED GOODS,MEAT MASALA POWDER,SPICES,PILLOW,POWDER,500,JAR SECTION
1381,1381,GAZAL MIX MASALA 350 GM,NOOR GAZAL MIX MASALA 350 GM,FINISHED GOODS,MIX MASALA,SPICES,PILLOW,POWDER,350,FFS MASALA
1386,1386,GAZAL OMANI MASALA 800 GM,NOOR GAZAL OMANI MASALA 800 GM,FINISHED GOODS,OMANI MASALA,SPICES,PILLOW,POWDER,800,FFS MASALA
1387,1387,GAZAL OMANI MASALA 600 GM,NOOR GAZAL OMANI MASALA 600 GM,FINISHED GOODS,OMANI MASALA,SPICES,PILLOW,POWDER,600,FFS MASALA
1390,1390,GAZAL SAMBAR MASALA 500 GM,NOOR GAZAL SAMBAR MASALA 500 GM,FINISHED GOODS,SAMBAR POWDER,SPICES,PILLOW,POWDER,500,JAR SECTION
,1395,GAZAL TURMERIC POWDER 4 KG,NOOR GAZAL TURMERIC POWDER 4 KG,FINISHED GOODS,TURMERIC POWDER,SPICES,PILLOW,POWDER,4000,FFS MASALA
1396,1396,GAZAL TURMERIC POWDER 1 KG,NOOR GAZAL TURMERIC POWDER 1 KG,FINISHED GOODS,TURMERIC POWDER,SPICES,PILLOW,POWDER,1000,FFS MASALA
1397,1397,GAZAL TURMERIC POWDER 500 GM,NOOR GAZAL TURMERIC POWDER 500 GM,FINISHED GOODS,TURMERIC POWDER,SPICES,PILLOW,POWDER,500,FFS MASALA
,1399,GAZAL TURMERIC POWDER 100 GM,NOOR GAZAL TURMERIC POWDER 100 GM,FINISHED GOODS,TURMERIC POWDER,SPICES,PILLOW,POWDER,100,FFS MASALA
1409,1409,GAZAL CORIANDER POWDER 3 KG,NOOR GAZAL CORIANDER POWDER 3 KG,FINISHED GOODS,CORIANDER POWDER,SPICES,PILLOW,POWDER,3000,FFS MASALA
1410,1410,GAZAL BLACK PEPPER 1 KG,NOOR GAZAL BLACK PEPPER 1 KG,FINISHED GOODS,BLACK PEPPER,SPICES,PILLOW,WHOLE,1000,NUTS SECTION
,1411,GAZAL BLACK PEPPER 500 GMS,NOOR GAZAL BLACK PEPPER 500 GMS,FINISHED GOODS,BLACK PEPPER,SPICES,PILLOW,WHOLE,500,NUTS SECTION
1414,1414,GAZAL OMANI MASALA 4 KG,NOOR GAZAL OMANI MASALA 4 KG,FINISHED GOODS,OMANI MASALA,SPICES,PILLOW,POWDER,4000,MASALA TABLE
1419,1419,GAZAL CARDAMOM 500 GMS,NOOR GAZAL CARDAMOM 500 GMS,FINISHED GOODS,CARDAMOM,SPICES,PILLOW,WHOLE,500,NUTS SECTION
,1424,,NOOR GAZAL CARDAMOM 20 GM,FINISHED GOODS,CARDAMOM,SPICES,PILLOW,WHOLE,20,NUTS SECTION
,1431,GAZAL CINNAMON 40 GMS,NOOR GAZAL CINNAMON 40 GMS,FINISHED GOODS,CINNAMON PACKING,SPICES,PILLOW,WHOLE,40,OMANI AKKA
1436,1436,GAZAL CLOVES 100 GM,NOOR GAZAL CLOVES 100 GM,FINISHED GOODS,CLOVES,SPICES,PILLOW,WHOLE,100,NUTS SECTION
1452,1452,GAZAL CUMIN SEEDS 150 GM,NOOR GAZAL CUMIN SEEDS 150 GM,FINISHED GOODS,CUMIN SEEDS,SPICES,PILLOW,WHOLE,150,FFS DAL
,1453,GAZAL CUMIN SEEDS 40 GM,NOOR GAZAL CUMIN SEEDS 40 GM,FINISHED GOODS,CUMIN SEED,SPICES,PILLOW,WHOLE,40,NUTS SECTION
1457,1457,GAZAL OMANI MASALA PAPER POUCH 700GMS,NOOR GAZAL OMANI MASALA PAPER POUCH 700GMS,FINISHED GOODS,OMANI MASALA,SPICES,PILLOW,WHOLE,700,MASALA TABLE
1458,1458,GAZAL KAHWA SEELANIYA 800 GM,NOOR GAZAL KAHWA SEELANIYA 800 GM,FINISHED GOODS,KAWA SEELANIA,OMANI COFFEE,PILLOW,POWDER,800,KAHWA SECTION
